Word,Chinese,Definition,Synonyms,Usage,Reference
cooler,n.冷却器,,,playing it cooler than cool.,District B13 2004
cooling,n.冷却adj.冷却的,,,"and the cooling towers, just everything.",Erin Brockovich 2000
coolly,"adv.沉着,自若",,,"ever so coolly,",Love Actually-English
coolness,"n.冷静,冷,凉爽",,,- Coolness.,Mean Girls 2004
coon,"n.[动]浣熊,无可救药者,<蔑>黑人",,,coon dog he had when he was a kid...,Big Fish 2003
cooper,n.制桶工人,,,These guys are with Alice Cooper.,Almost Famous-English
cooperate,"vi.合作,协作",,,"cogs that fit, that cooperate by design.",The Incredibles 2004
cooperation,"n.合作,协作",,,his extraordinary level of cooperation...,Batman Begins 2005
cooperative,"adj.合作的,协力的",,,cooperative cogs?,The Incredibles 2004
coordinate,"n.同等者,同等物,坐标(用复数)adj.同等的,并列的vt.调整,整理",,,"when you orchestrate, coordinate,",Hitch 2005
coordinated,,,,"backing vocals coordinated by her mother,",Love Actually-English
coordinates,n.相配之衣物,,,Use the coordinates,The Incredibles 2004
coordination,*contempt v.輕視；*coordination n.協調,,,the coordination and the skill,Pirates of the Caribbean The Curse of the Black Pearl 2003
coordinator,"n.协调者,同等的人或物",,,"I have to say, the stunt coordinator",Pirates of the Caribbean The Curse of the Black Pearl 2003
cop,"n.警官,巡警,[纺]管纱vt.抓住",,,You'll cop a plea.,The Interpreter 2005-English
cope,"*contemptible adj.卑劣的；可鄙
*contend v.競爭；抗衡 (cope with)；*cop n.警察
cope v.競爭；應付；妥善處理",,,"strong, and she'll cope just like l'll cope.",28 Days Later 2002
copilot,n.副驾驶员,,,I'm a copilot based out of,Catch Me If You Can 2002
coping,"n.顶部,顶盖,墙的顶部",,,coping with my parents' divorce.,The Sixth Sense-English
copper,"a ripe melon will smell sweet.
melt v.融化make or become liquefied by heat.；mine n.礦",,,- My copper.,Love Actually-English
copperhead,"n.铜斑蛇,南北战争时同情南方的北方人",,,Her code name was Copperhead.,Kill Bill Vol 1 2003
copter,n.直升机,,,of a passing police 'copter.,Sin City 2005-English
copy,"n.副本,拷贝,摹仿,一册v.复印,复制,拷贝,抄袭",,,Take this copy of the great,Vanity Fair 2004
copying,,,,That Patrick guy... he's copying me.,Eternal Sunshine of the Spotless Mind 2004
copyright,"n.版权,著作权",,,"Copyright the name ""Green Goblin.""",Spider Man - Trilogy 2002
coquille,n.用贝壳或贝壳状容器盛的菜,,,a coquille St. Jacques,Hitch 2005
cora,n.科拉(f.),,,"Cora, can you locate a patient for me?",Dawn of the Dead 2004-English
coral,"n.珊瑚,珊瑚虫",,,a coral blade into the ocean...,The Last Samurai 2003
corasick,,,,,
corbel,,,,,
cord,"n.绳索,束缚",,,he found teeth and a spinal cord.,My Big Fat Greek Wedding 2002
cordial,"n.兴奋剂,兴奋性饮料adj.热忱的,诚恳的,兴奋的",,,Je vous ai aussi prescrit un cordial,From Hell 2001
cordite,n.无烟火药,,,-You can still smell the cordite.,Collateral 2004
cordless,n.不用电线的,,,for a cordless phone.,The 40 Year Old Virgin 2005
cordon,"n.哨兵线,警戒线,饰带vt.用警戒线围住",,,The microwave cordon bleu hobby kit.,Fight Club 1999
cords,n.用灯芯绒做的衣物,,,to re-tie the cords.,Spider Man 2 2004 Extended
corduroy,"n.灯芯绒,灯芯绒裤子",,,God. A corduroy jacket in Italy.,The Talented Mr Ripley-English
core,"n.果核,中心,核心",,,The hard-core girls just wear lingerie,Mean Girls 2004
corey,n.科里(亦作 Cory) (m.),,,The Corey Haim terrorist,Magnolia-English
corinthian,n.科林斯式,,,complete with Corinthian columns,My Big Fat Greek Wedding 2002
cork,"加強的；密集的very thorough or vigorous. she
undertook an intensive Arabic course.",,,Hey. Put a cork in it.,Toy Story 2-English
cormorant,"n.鸬鹚,贪婪的人adj.贪婪的",,,"Those birds. They're a species of cormorant,",Master and Commander The Far Side of the World-English
corn,"n.<美>玉米,<英>谷物,五谷,[医]鸡眼vt.腌(肉等)",,,corn left from yesterday.,Ray 2004
corncob,n.玉米的穗轴,,,"Well, if the corncob fits ...",Ray 2004
corncrib,n.玉米穗仓库,,,Raidin' our corncrib!,Cold Mountain-English
cornelius,n.科尼利厄斯(m.),,,"Go ahead,... Cornelius.",Fight Club 1999
corner,"n.角落,(街道)拐角处,(遥远的)地区,偏僻处,困境,绝路vt.迫至一隅,垄断,使陷入绝境,把...难住vi.相交成角,囤积(in)",,,"in a corner here, buddy.",The Aviator 2004-English
cornered,"adj.有角的,被逼至绝路的",,,Then don't let me get cornered.,Collateral 2004
cornerstone,"n.墙角石,基础",,,...as a suitable cornerstone,Batman Begins 2005
cornflower,n.[植]矢车菊,,,He had on his cornflower blue tie.,Fight Club 1999
cornice,,,,,
cornish,,,,,
corona,"n.冠壮物,王冠,光环",,,Smith-Corona Galaxis Deluxe.,Almost Famous-English
coronation,n.加冕礼,,,for the coronation of my nephew.,Kingdom of Heaven 2005
coroner,n.验尸官,,,The coroner found half a ham sandwich,Be Cool 2005-English
coroutine,,,,,
corporal,"n.<美>下士adj.肉体的,身体的",,,"Corporal, take that lady's bag, please,",Hotel Rwanda 2004-English
corporate,"adj.社团的,法人的,共同的,全体的",,,with corporate murder.,The Constant Gardener 2005-English
corporation,"n.[律]社团,法人,公司,企业,<美>有限公司,(市,镇的)自治机关,<口>大肚皮",,,Via a dummy corporation.,Batman Begins 2005
corporations,,,,Corporations like Umbrella...,Resident Evil 2002
corps,"n.军团,兵队,团,兵种,技术兵种,特殊兵种,(德国大学的)学生联合会",,,It's a spy plane for the Air Corps.,The Aviator 2004-English
corpse,n.尸体,,,"and the humor of a corpse. '""",Vanity Fair 2004
corral,n.畜栏vt.关进畜栏,,,The cops out there wanna corral all the,The Bourne Supremacy 2004
correct,"adj.正确的,恰当的,端正的vt.改正,纠正,告诫,惩戒",,,Is that correct?,Spider Man 2 2004 Extended
correcting,,,,or just correcting me?,The Interpreter 2005-English
correctional,"adj.改正的,矫正的,修正的",,,took jobs with Boys' Correctional.,The Green Mile 1999
corrective,"adj.纠正的,矫正的n.矫正物,中和物",,,Corrective teeth surgery!,Magnolia-English
correctly,"adv.恰当地,正确地",,,"Because if memory serves me correctly, I used to be inspiration enough.",Guess Who 2005-English
correctness,,,,,
correlation,,,,,
correspond,"vi.符合,协调,通信,相当,相应",,,correspond,A Beautiful Mind 2001
correspondence,far adj./adv.遙遠的it was not too far away.；file n./v.檔案；把…歸檔,,,"There's just so much correspondence,",Erin Brockovich 2000
correspondent,"n.通讯记者,通信者",,,thought of myself as a correspondent.,The Quiet American 2002
corresponding,"*hairstyle n.髮型；green adj./n.綠色的of the color between blue and yellow in the spectrum;
colored like grass. the leaves are bright green.",,,to its corresponding branch.,Catch Me If You Can 2002
corridor,n.走廊,,,Down the corridor. Flat 157. Move!,28 Days Later 2002
corroborate,"vt.使坚固,确证",,,who was gonna corroborate.,The Exorcism of Emily Rose
corroboration,"n.使确实,确证的事实,确证",,,"corroboration by six eyewitnesses,",Sin City 2005-English
corrosion,"n.侵蚀,腐蚀状态",,,to prevent corrosion.,Erin Brockovich 2000
corrupt,"adj.腐败的,贪污的,被破坏的,混浊的,(语法)误用的vt.使腐烂,腐蚀,使恶化vi.腐烂,堕落",,,corrupt as the tyrants they'd overthrown.,The Interpreter 2005-English
corruption,"n.腐败,贪污,堕落",,,a check against human corruption...,Batman Begins 2005
corsair,"n.海盗,海盗船",,,and a poem called The Corsair.,Pirates of the Caribbean The Curse of the Black Pearl 2003
corset,"n.束腹,妇女的胸衣",,,Her hand goes to the corset where,Pirates of the Caribbean The Curse of the Black Pearl 2003
cortical,"adj.皮层的,皮质的,有关脑皮层的",,,a cortical infection that we didn't...,The Island 2005
corvette,n.轻巡洋舰,,,including the Corvette.,Toy Story 2-English
cos,"n.莴苣的一种,[数](=cosine)余弦",,,I remember cos we said we'd wait.,Mr and Mrs Smith 2005
cosine,"n.莴苣的一种,[数](=cosine)余弦",,,,
cosmetic,n.化妆品adj.化妆用的,,,"cosmetic surgeries,",How to Lose a Guy in 10 Days 2003
cosmetics,,,,"They bring cartloads of food,\Ntobacco, liquor, French cosmetics.",The Pianist 2002
cosmic,adj.宇宙的,,,Cosmic coincidence. You know.,Collateral 2004
cosmo,"n.科兹莫(m.) n.<美俚>都市性,大都会特色",,,"- And I'll have a Cosmo. - Me, too.",Guess Who 2005-English
cosmological,"adj.宇宙哲学的,宇宙论的adj.宇宙论的,宇宙哲学的",,,based on ancient cosmological,Tomb Raider 2001
cosmopolitan,,,,,
cosmos,宇宙,,,The cosmos was created,Cast Away 2000
coso,,,,,
cost,"n.成本,价钱,代价vt.价值为,(使)花费(金钱,时间,劳力等),使失去(生命,健康等),令人付出vi.花费",,,controlling interest in TWA cost me?,The Aviator 2004-English
costa,"n.[解]肋,[植]缘,中脉,[动]前缘脉",,,We must let Costa think this was,My Big Fat Greek Wedding 2002
costar,"n.合演者,合演的明星vi.合演",,,Costar with Errol.,The Aviator 2004-English
costing,evidence n./v.證據；物證 the study finds little evidence of apparent,,,... ends up costing as,The Aviator 2004-English
costly,,,,,
costs,,,,It costs 4 million dollars,The Aviator 2004-English
costume,"n.装束,服装",,,It was some asshole in a costume.,Batman Begins 2005
cosy,"adj.舒适的,安逸的",,,It looks cosy.,X Men 2000
cot,"n.轻便小床,帆布床",,,"when I bound from my cot,",Sin City 2005-English
cottage,"n.村舍,小别墅",,,object to us taking over your cottage,Finding Neverland 2004-English
cotton,invent v.創造,,,Egyptian cotton.,The Incredibles 2004
cou,,,,autour du cou et des paules.,From Hell 2001
couch,"n.(文学)床,睡椅 v.(用语言)表达",,,"I'm sorry, Percy. I must have fell asleep on the couch.",Guess Who 2005-English
cougar,n.[动]美洲狮(尤指Felis concolor),,,Flying Cougar Li Yun.,Crouching Tiger Hidden Dragon 2000
cough,*drugstore n.藥店；dose n．(藥物等的)一劑,,,Bad cough. Blood in it.,Sin City 2005-English
could,*disrupt v.擾亂,,,If only I could be.,Vanity Fair 2004
couldn't,,,,"No, I couldn't!",Vanity Fair 2004
council,"n.政务会,理事会,委员会,参议会,讨论会议,顾问班子,立法班子",,,What say this council?,Kingdom of Heaven 2005
councilman,,,,,
councilwoman,n.议会女议员,,,GRAND COUNCILWOMAN:,Lilo and Stitch 2002
counsel,"n.讨论,商议,辩护律师vt.劝告,忠告",,,- My legal counsel is on the way...,The Aviator 2004-English
counseling,"n.(对个人,社会以及心理等问题的)咨询服务",,,"With counseling, I think",The Incredibles 2004
counsellor,,,,,
counselor,"n.顾问,法律顾问",,,"Listen, counselor, we don't wanna",Batman Begins 2005
count,"v.数,计算,计算在内,认为,有价值n.计数,计算,注意,伯爵",,,count of the affair.,Spider Man 2 2004 Extended
countable,,,,,
countdown,n.倒数计秒,,,Countdown is initiated.,Mr and Mrs Smith 2005
countenance,"n.面容,脸色,支持vt.支持,赞助",,,The Lord Iift up his countenance upon thee,Braveheart 1995
counter,"n.计算器,计数器,计算者,柜台,筹码adv.prep.相反地",,,Put yours behind the counter.,Million Dollar Baby 2004
counteract,,,,,
counterattack,,,,,
counterbalance,"vt.使平均,使平衡,弥补n.平衡量,平衡力,势均力敌",,,"Shaped charge on the counterbalance cable,",Mr and Mrs Smith 2005
counterexample,,,,,
counterfeit,"n.adj.赝品,伪造品,伪造的,假冒的vt.伪造,假冒",,,"Yeah, I got a counterfeit he drew",Catch Me If You Can 2002
counterfeiting,n.伪造,,,counterfeiting. It's something else.,Catch Me If You Can 2002
counterfort,,,,,
counterintelligence,"n.反情报,反间谍活动",,,A very expensive counterintelligence,Collateral 2004
counterpart,,,,,
countersunk,countersink 的过去式和过去分词,,,I want every screw and joint countersunk.,The Aviator 2004-English
counterweight,"n.平衡物,称锤,平衡力",,,I'M JUST ADDING SOME COUNTERWEIGHT.,Constantine 2005
countess,"n.伯爵夫人,女伯爵",,,"""the old Countess of Southdown,",Vanity Fair 2004
counting,n.计算,,,because she'd be counting the seconds,Hitch 2005
countless,"adj.无数的,数不尽的,",,,Countless nights may puss,Oldboy 2003
countries,dilemma n.困境,,,and various countries in Europe.,The Interpreter 2005-English
country,"*effectively adv.有效地
efficiency n.效率  greater energy efficiency.
fluorescent lamps are efficient at converting electricity into light.",,,of a country governess,Vanity Fair 2004
countrymen,"n.同胞,同国人,同乡,乡下人,农民",,,Do you see any of your countrymen,The Constant Gardener 2005-English
countryside,"n.乡下地方,乡下居民",,,to scour the countryside.,Troy 2004
county,"n.县,郡",,,Do you know the county at all?,Vanity Fair 2004
coup,"n.砰然而有效的一击,妙计,出乎意料的行动,政变",,,What's the coup de grâce?,How to Lose a Guy in 10 Days 2003
coupe,"n.双座四轮轿式马车,分隔车房",,,in a new coupe?,Catch Me If You Can 2002
couple,"n.(一)对,(一)双,夫妇vt.连合,连接,结合vi.结合,结婚",,,Our couple are thousands,Spider Man 2 2004 Extended
coupler,,,,,
coupling,,,,,
coupon,,,,,
courage,"n.勇气,精神",,,and courage on behalf of those,Kingdom of Heaven 2005
courageous,"adj.勇敢的,有胆量的",,,You were courageous.,The Constant Gardener 2005-English
courant,"n.报,报纸(仅用于报刊名)adj.(纹章上动物形象)跑步状的",,,Tenez-moi au courant.,From Hell 2001
courier,"n.送快信的人,旅行从仆",,,l'm a bicycle courier.,28 Days Later 2002
course,eye n./v.眼睛；fate n.命運,,,"Of course,",Vanity Fair 2004
courses,"n.课程,路线",,,"I've taken courses, learned CPR,",The Incredibles 2004
court,knee n.膝蓋,,,by the magistrate court...,Spider Man 2 2004 Extended
courteous,"*groan n./v.呻吟 make a deep inarticulate sound in response to despair/
pain. Marty groaned and pulled the blanket over his head.
grocery n.食品雜貨店 a grocer's store or business.",,,"To be courteous, I should say",Kingdom of Heaven 2005
courtesan,"n.(专与高级官员往来的)妓女,情妇",,,"A courtesan, she sold her love to men.",Moulin Rouge! 2001
courtesy,"n.谦恭,允许,礼貌",,,Consider this a courtesy call.,Be Cool 2005-English
courthouse,"n.法院,郡政府所在地",,,in sub-basement D of the federal courthouse.,Mr and Mrs Smith 2005
courtroom,"n.法庭,审判室",,,I love standing in that courtroom.,Collateral 2004
courtship,"n.求爱,求爱时期",,,"During courtship,",American Psycho-English
courtyard,"showing anger or annoyance at what is perceived as
*indignant adj.憤慨的unfair treatment. he was indignant at being the object
anger provoked by what is perceived as unfair treatment. the letter filled Lucy with indignation.",,,in a courtyard of stone.,The Lord of the Rings The Return of the King
cousin,"n.堂兄弟姊妹,表兄弟姊妹",,,"When his cousin died, I knew",Vanity Fair 2004
couteau,n.双刃大刀,,,ce genre de couteau ?,From Hell 2001
couture,n.服装设计(师)或其服装店,,,"Mmm, Valentino Couture?",American Psycho-English
covariance,,,,,
cove,"n.山凹,小湾,<美>小峡谷,(延至树林的)狭长开阔地,[建]穹窿,拱v.(使)内凹,(使)成拱形",,,"7:00 a. m., North Cove Marina. Over and out.",Hitch 2005
cover,"cause (a person) to go with one by holding them by the hand, a
rope, etc. while moving forward. she emerged leading a bay horse. the person who leads or commands a group, organization, or country. the leader of a protest group.
the action of leading a group of people or an
organization. different styles of leadership.
a flattened structure of a higher plant, typically green
and blade-like. many of the trees had lost their leaves. (of a container or covering) accidentally lose or admit contents, especially liquid or gas, through a hole or crack. the roof leaked.
the accidental admission or escape of a fluid or gas through a
hole or crack. we're saving water by reducing leakage.
be in or move into a sloping position. he leaned back in his chair.
jump or spring a long way, to a great height, or with
great force. I leaped across the threshold.
gain or acquire knowledge of or skill in (something) by study,
experience, or being taught. they'd started learning French. having much knowledge acquired by study. a learned, generous, and notoriously absent-minded man.
a contract by which one party conveys land, property, services,
etc. to another for a specified time. a six-month lease on a shop. a material made from the skin of an animal by tanning. a leather jacket.
go away from.
she left New York on June 6.
lecture n./v.授課an educational talk to an audience.
a person who gives lectures, especially as a profession.",,,"Payoffs, cover-ups.",The Constant Gardener 2005-English
coverage,n.复盖,,,I have full coverage.,The Incredibles 2004
covered,correct adj./v.正確的；更正 right；cover n./v.封面；遮蓋,,,- Good God! You're covered in blood.,The Aviator 2004-English
covering,"*generalize v.歸納
generation n.世代",,,- It is not covering up the grown parts! - What!,Guess Who 2005-English
covers,"fragrance n.芬芳 a pleasant, sweet smell.
the fragrance of fresh-ground coffee.
frame n./v.架構  place (a picture or photograph) in a frame.
he had the photo framed.",,,- Their policy covers...,The Incredibles 2004
covet,"v.垂涎,觊觎",,,"This Jaguar you so pinheadedly covet,",Sin City 2005-English
coving,,,,,
cow,"n.母牛,大型母兽vt.威吓",,,you stupid cow!,Sin City 2005-English
coward,"n.懦弱的人,胆小的人",,,"This whole time, I thought I was the coward.",Hitch 2005
cowardice,"n.怯懦,胆小",,,cowardice comes from imagination.,Oldboy 2003
cowardly,adv.胆怯地,,,"You cowardly, villainous liar!",Vanity Fair 2004
cowboy,"n.<美>牛仔,牧童,美国西部牧人",,,"Never trust a con, cowboy.",The Machinist 2004
cowgirl,n.女牛仔,,,"Hey, there, cowgirl.",Training Day-English
cowl,"n.蒙头斗篷,连有头巾的修道士服,(烟囱顶上的)通风帽",,,of this cowl from Singapore.,Batman Begins 2005
cowling,n.飞机引擎罩,,,- Do we need these rivets on the cowling?,The Aviator 2004-English
coworker,,,,a rather beautiful coworker of Christine's.,About a Boy 2002-English
coy,"adj.腼腆的,怕羞的,卖弄风情的",,,- Don't be coy.,Crouching Tiger Hidden Dragon 2000
coz,"n.(cousin 的缩写)堂兄弟姊妹,表兄弟姊妹",,,"- Hey, coz, how you doing?",Mystic River 2003
cozy,"adj.舒适的,安逸的,惬意的",,,so don't get too cozy.,Chicago 2002-English
cp,Union of Soviet Socialist Republics 原苏联社会主义共和国联盟,,,So I got the CP up.,The Blair Witch Project 1999
cpa,"Canadian Pacific Airlines,加拿大太平洋航空",,,What is an heiress doing with a CPA?,Hitch 2005
cpt,,,,,
cpu,"美国AMD公司,主要生产计算机的CPU芯片",,,,
cpvc,,,,,
cqrs,,,,,
crab,"n.螃蟹,类似螃蟹的动物,脾气乖戾的人,吹毛求疵vi.捕蟹,偏航,发牢骚vt.使偏航,发脾气,破坏",,,and a crab and a guy with a skull,Pirates of the Caribbean The Curse of the Black Pearl 2003
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的",,,do me no good if you crack up on me.,The Aviator 2004-English
crackdown,,,,,
cracked,"adj.声音嘶哑的,破碎的,破裂的",,,"beyond cracked ribs,",Million Dollar Baby 2004
cracker,"n.饼干,爆竹,胡桃夹n.解密高手",,,"Look, they're Cracker Jack candy, honey.",The Aviator 2004-English
crackers,"adj.精神错乱的,癫狂的",,,and crackers for eight people.,Mean Girls 2004
cracking,"n.破裂,裂化",,,start cracking at the attach points.,The Aviator 2004-English
crackle,"n.劈啪响,裂纹vi.(使)发劈啪声",,,"Is it sort of like Snap, Crackle,",Million Dollar Baby 2004
crackling,"n.烤猪肉的脆皮,猪油渣",,,(ELECTRICITY CRACKLING),Batman Begins 2005
cracks,,,,"That about cracks the case, don't it?",Mystic River 2003
cradle,"n.摇篮,发源地,支船架vt.将...放在摇篮内",,,You murdered me in my cradle.,Alexander 2004-English
craft,"n.工艺,手艺",,,"Before boarding the craft,",The Aviator 2004-English
craftsmanship,"n.技能,技术",,,lyrical craftsmanship,American Psycho-English
craig,n.克雷格(m.),,,"Hi, this is Craig, your pilot.",Almost Famous-English
cram,v.填满,,,How do people cram them in?,About a Boy 2002-English
cramer,,,,,
cramp,"n.抽筋,腹部绞痛,(pl.)月经痛adj.狭窄的,难解的vt.使抽筋,以铁箍扣紧",,,- Shall we do the cramp test?,Being John Malkovich 1999
cramped,"adj.狭促的,难辨的,难懂的",,,"- Small, cramped basement apartment?",Fight Club 1999
cranberry,n.[植]酸果蔓的果实,,,cranberry juice for 72 hours.,Mean Girls 2004
crane,n.起重机,,,- Dr. Crane.,Batman Begins 2005
cranes,,,,,
cranium,"n.头盖,头盖骨",,,of the cranium. We can measure,Spider Man 2 2004 Extended
crank,"adj.脾气暴燥的,易怒的n.[机]曲柄,奇想vt.[机]装曲柄vi.[机]转动曲柄",,,So crank out another hit.,Ray 2004
cranky,"adj.任性的,暴躁的,[航海]摇荡不稳的,怪僻的",,,He's just cranky because,Lilo and Stitch 2002
crap,"n.废物,赌输的一注,废话vi.掷骰子",,,If you had any idea of the crap,The Aviator 2004-English
craps,n.<美>双骰儿赌博,,,I been shootin' craps,Ray 2004
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台",,,Then the planes crash.,The Aviator 2004-English
crashed,,,,- I crashed into a beet field.,The Aviator 2004-English
crashing,*drought n.乾旱  the cause of Europe's recent droughts,,,(banging and crashing),Finding Neverland 2004-English
crate,"n.板条箱,柳条箱",,,know what's in Mr. Falcone's crate.,Batman Begins 2005
crater,n.弹坑,,,damn crater. Whole plan backfired on 'em.,Cold Mountain-English
crave,"v.恳求,渴望",,,"and I crave news from home.""",Frida [2002]
craving,n.渴望,,,Annabeth got a craving for cigarettes. I'm,Mystic River 2003
crawfish,n.[动] 小龙虾,,,"the cilantro crawfish gumbo,",American Psycho-English
crawl,"vi.爬行,蠕动,徐徐行进n.爬行,蠕动,缓慢的行进",,,and I crawl back inside myself.,Sin City 2005-English
crawled,*crawl v.爬行；蠕動；cotton n.棉,,,They crawled.,The Lord of the Rings The Two Towers 2002 EXTENDED
crawler,,,,,
crayon,*crayon n.蠟筆；couch n.長沙發；睡椅sofa,,,,
craze,n.狂热,,,started all this craze...,Spider Man 2 2004 Extended
crazed,"adj.疯狂的,癫狂的",,,crazed with grief over,Alexander 2004-English
crazing,,,,,
crazy,"interaction n.相互影響  ongoing interaction between the two languages.
obstruct (someone or something) so as to prevent
*intercept v.中途阻止 them from continuing to a detination.
(of two things) able to be interchanged. eyepieces are interchangeable with.
communication or dealings between individuals or
groups. everyday social intercourse.
the monthly rate of interest.
she looked about her with interest.
arousing curiosity or interest. holding or catching the
*interesting adj.有趣的attention. an interesting debate.
take part in an activity without invitation or necessity.
interfere v.干預you promised not to interfere.
the action of interfering. an unwarranted interference
*interference n.干擾 with personal liberty.
situated within or inside; relating to the inside;
*interior n./adj.內部(的) inner. the interior lighting is not adequate.
coming between two things in time, place, order,
intermediate adj.中間的character. an intermediate stage of development.
of or situated on the inside. the tube had an internal
diameter of 1.1 mm. (millimeter)
existing, occurring, or carried on between two
or more nations. international trade.
a global computer network providing a variety of
Internet n.網際網路information. the guide is also available on the internet.
explain the meaning of (information, words, or
actions). the evidence is difficult to interpret. the action of explaining the meaning of something. the interpretation of data.
a person who interprets, especially one who
*interpreter n.口譯者translates speech orally.
break the continuity of (a line or surface).
interrupt v.打斷 the coastal plain is interrupted by chains of large lagoons.
the action of interrupting or being interrupted.
a chance to study without interruption.
*intersection n.橫切；路口 a point or line common to lines or surfaces
that intersect.",,,What I do with that money may seem crazy,The Aviator 2004-English
crdt,,,,,
creak,n.吱吱响声v.吱吱作响,,,[ Hinges creak ],Frida [2002]
cream,"n.乳酪,奶油,(护肤)面霜",,,Can't you eat ice cream from a bowl,The Aviator 2004-English
creamywhite,"interaction n.相互影響  ongoing interaction between the two languages.
obstruct (someone or something) so as to prevent
*intercept v.中途阻止 them from continuing to a detination.
(of two things) able to be interchanged. eyepieces are interchangeable with.
communication or dealings between individuals or
groups. everyday social intercourse.
the monthly rate of interest.
she looked about her with interest.
arousing curiosity or interest. holding or catching the
*interesting adj.有趣的attention. an interesting debate.
take part in an activity without invitation or necessity.
interfere v.干預you promised not to interfere.
the action of interfering. an unwarranted interference
*interference n.干擾 with personal liberty.
situated within or inside; relating to the inside;
*interior n./adj.內部(的) inner. the interior lighting is not adequate.
coming between two things in time, place, order,
intermediate adj.中間的character. an intermediate stage of development.
of or situated on the inside. the tube had an internal
diameter of 1.1 mm. (millimeter)
existing, occurring, or carried on between two
or more nations. international trade.
a global computer network providing a variety of
Internet n.網際網路information. the guide is also available on the internet.
explain the meaning of (information, words, or
actions). the evidence is difficult to interpret. the action of explaining the meaning of something. the interpretation of data.
a person who interprets, especially one who
*interpreter n.口譯者translates speech orally.
break the continuity of (a line or surface).
interrupt v.打斷 the coastal plain is interrupted by chains of large lagoons.
the action of interrupting or being interrupted.
a chance to study without interruption.
*intersection n.橫切；路口 a point or line common to lines or surfaces
that intersect.",,,,
crease,"n.折缝,折痕v.折,弄皱",,,"Yeah, but there's no crease",Catch Me If You Can 2002
create,invent v.創造,,,It's to create opportunities.,Hitch 2005
created,adj.创造的,,,A colony we created.,The Aviator 2004-English
creation,"n.创造,创作物",,,of my creation.,Oldboy 2003
creative,adj.创造性的,,,The receptive nature of the creative facility,Hitch 2005
creativity,imaginative adj.想像的,,,for authentic creativity.,A Beautiful Mind 2001
creator,"*creator n.創作者
*creature n.生物；count n./v.計算 add up
*countable adj.可數的",,,FROM THE CREATOR.,Constantine 2005
creature,"n.人,动物,傀儡,创造物",,,than from a living creature.,Spider Man 2 2004 Extended
creatures,,,,"He's the dearest of creatures,",Vanity Fair 2004
credence,n.信任,,,many will give credence to such nonsense.,Finding Neverland 2004-English
credential,,,,,
credibility,n.可信性,,,"gets so much credibility,",The Interpreter 2005-English
credible,"adj.可信的,可靠的",,,- We got a credible threat?,The Interpreter 2005-English
credit,"n.信任,信用,声望,荣誉,[财务]贷方,银行存款vt.相信,信任,把...归给",,,You are a credit to us.,Vanity Fair 2004
creditable,,,,,
creed,n.信条,,,"of color, of creed...","O Brother, Where Art Thou -English"
creek,"n.小溪,小河,<主英>小港,小湾",,,on the creek every morning.,The Notebook 2004
creep,"vi.爬,蹑手蹑脚,蔓延",,,From a five-star creep.,The Constant Gardener 2005-English
creeper,n.爬行者,,,"- You know what, Creeper?",The Pacifier 2005-English
creeping,n.爬行adj.爬行的,,,that's creeping in.,Spider Man 2 2004 Extended
creepy,"adj.爬行的,匍匐的,皮肤上有足爬似的",,,I had a creepy love letter today.,The Constant Gardener 2005-English
creme,"n.(=cream)乳酪,奶油,奶皮",,,We've got Mum's creme de menthe.,28 Days Later 2002
creosote,"[化]n.杂芬油,木馏油,碳酸;vt.用木馏油处理",,,a creosote bush.,Kingdom of Heaven 2005
crept,vbl.creep 的过去式,,,"This exile, crept from the",The Lord of the Rings The Return of the King
crescent,"n.新月,月牙adj.新月形的,逐渐增加的",,,Crescent to Dunboy.,Mystic River 2003
cress,n.[植]水芹,,,just cress and roots.,Cold Mountain-English
cressida,n.克雷西达,,,Her name was Cressida Baylor.,Hitch 2005
crested,"adj.有顶饰的,有纹章的,有冠毛的",,,"It's a Chinese Crested, of course.",How to Lose a Guy in 10 Days 2003
crete,"interaction n.相互影響  ongoing interaction between the two languages.
obstruct (someone or something) so as to prevent
*intercept v.中途阻止 them from continuing to a detination.
(of two things) able to be interchanged. eyepieces are interchangeable with.
communication or dealings between individuals or
groups. everyday social intercourse.
the monthly rate of interest.
she looked about her with interest.
arousing curiosity or interest. holding or catching the
*interesting adj.有趣的attention. an interesting debate.
take part in an activity without invitation or necessity.
interfere v.干預you promised not to interfere.
the action of interfering. an unwarranted interference
*interference n.干擾 with personal liberty.
situated within or inside; relating to the inside;
*interior n./adj.內部(的) inner. the interior lighting is not adequate.
coming between two things in time, place, order,
intermediate adj.中間的character. an intermediate stage of development.
of or situated on the inside. the tube had an internal
diameter of 1.1 mm. (millimeter)
existing, occurring, or carried on between two
or more nations. international trade.
a global computer network providing a variety of
Internet n.網際網路information. the guide is also available on the internet.
explain the meaning of (information, words, or
actions). the evidence is difficult to interpret. the action of explaining the meaning of something. the interpretation of data.
a person who interprets, especially one who
*interpreter n.口譯者translates speech orally.
break the continuity of (a line or surface).
interrupt v.打斷 the coastal plain is interrupted by chains of large lagoons.
the action of interrupting or being interrupted.
a chance to study without interruption.
*intersection n.橫切；路口 a point or line common to lines or surfaces
that intersect.",,,,
